"cluster","vd","capac_prod","prac_empre","abs_ih","prop_calif","gest_rrhh","orga_tec","prop_capac","vinc_inst","d_especinsum","d_especproce","d_trazabilidad","d_problemas","d_mejoracont","d_diseno","d_deptoid","d_montcomp","d_montec","prop_prof","prop_tec","d_rrhhdto","d_perffor","d_evaldes","d_sistemas","d_sapoydec","d_softgest","capacit_nojer","capacit_ger","capacit_sup","d_vincpub","d_vincfir","d_vincase","tam_mue","k_inac","rama_act","exporta","innovo","ing","dai","did","empleo","tc.va.tr","tc.empleo","tc.ventas"
"4",FALSE,1,3,3,41.4461867756169,3,3,56.6666666666667,2,0,0,1,1,1,1,1,1,0,21.5481894040741,61.3441841471596,1,1,1,1,1,1,40,50,80,1,1,0,"Grande",1,"Papel",0,1,294457143.456807,1,0,NA,78.6857129082559,NA,38.4948898413027
"4",FALSE,0,3,1,21.3951044353225,3,3,33.3333333333333,1,0,0,0,1,1,1,0,1,1,39.5018716403679,3.28833723027712,1,1,1,1,1,1,50,0,50,0,0,1,"Grande",0,"Edicion",0,0,294457143.456807,1,0,NA,52.0684147960677,NA,38.4948898413027
"4",FALSE,3,3,1,38.9820818576263,3,3,65,3,1,1,1,1,1,1,1,0,0,69.4774450949994,8.48671862025312,1,1,1,1,1,1,55,75,65,1,1,1,"Grande",0,"Farmaceuticas",1,1,294457143.456807,1,0,NA,93.621980304429,NA,38.4948898413027
"4",TRUE,3,3,3,18.2024665898367,3,2,59,2,1,1,1,1,1,1,1,1,1,24.4126932436042,11.9922399360691,1,1,1,1,1,0,48,53,76,1,0,1,"Grande",0,"Farmaceuticas",1,1,294457143.456807,1,1,NA,61.5171534061798,NA,38.4948898413027
"3",FALSE,3,2,2,5.56076822296271,1,2,33.3333333333333,1,1,1,1,0,1,1,0,1,0,1.31392867563297,9.80760777029244,1,0,0,1,1,0,0,80,20,0,0,1,"Grande",0,"Confecciones",0,1,294457143.456807,0,0,NA,4.72819020386102,NA,38.4948898413027
"4",TRUE,3,3,3,28.7683284457478,3,3,70,3,1,1,1,1,1,1,1,1,1,52.5671103090458,4.96954658244981,1,1,1,1,1,1,70,70,70,1,1,1,"Grande",1,"Productos quimicos",1,1,294457143.456807,1,0,NA,77.1609782337576,NA,38.4948898413027
"4",FALSE,3,3,3,17.5868459852326,3,2,77.3333333333333,2,1,1,1,1,1,1,1,1,1,25.1590863945117,10.0146055759534,1,1,1,1,0,1,80,80,72,1,0,1,"Grande",1,"Metales comunes",1,1,294457143.456807,1,0,NA,-2.29843642338888,NA,38.4948898413027
"4",FALSE,3,3,2,11.8497462170363,3,3,100,1,1,1,1,1,1,1,1,1,1,10.7898096889885,12.9096827450842,1,1,1,1,1,1,100,100,100,0,0,1,"Grande",1,"Papel",1,1,294457143.456807,1,0,NA,50.1609803728957,NA,38.4948898413027
"4",TRUE,3,3,2,42.7907116683462,2,3,33.3333333333333,3,1,1,1,1,1,1,1,1,1,28.64175383659,56.9396695001024,1,1,0,1,1,1,80,0,20,1,1,1,"Grande",0,"Otros equipo de transporte",1,1,294457143.456807,1,1,NA,-26.1773140313163,NA,38.4948898413027
"4",FALSE,2,3,2,29.3433368139759,3,3,47,1,1,1,0,1,1,1,0,1,1,10.4590537330275,48.2276198949243,1,1,1,1,1,1,42,52,47,0,0,1,"Grande",1,"Otras",1,1,294457143.456807,1,0,NA,43.4563185277311,NA,38.4948898413027
"4",FALSE,3,3,3,22.0202732755902,3,3,33.3333333333333,3,1,1,1,1,1,1,1,1,1,11.124512265864,32.9160342853164,1,1,1,1,1,1,50,20,30,1,1,1,"Grande",1,"Productos lacteos",1,1,294457143.456807,1,0,NA,70.8216922828167,NA,38.4948898413027
"4",TRUE,3,3,3,32.2132927301118,3,3,83.3333333333333,3,1,1,1,1,1,1,1,1,1,18.7126995909184,45.7138858693052,1,1,1,1,1,1,50,100,100,1,1,1,"Grande",0,"Farmaceuticas",1,1,294457143.456807,1,0,NA,171.582888327211,NA,38.4948898413027
"4",FALSE,3,3,2,5.76889010073513,3,3,23.6666666666667,3,1,1,1,1,1,1,0,1,1,6.91368306509823,4.62409713637203,1,1,1,1,1,1,37,10,24,1,1,1,"Grande",0,"Alimentos",1,0,294457143.456807,1,0,NA,24.0300988460962,NA,38.4948898413027
"4",FALSE,2,3,3,49.8405240583883,2,3,85,3,0,1,1,1,1,1,1,1,1,58.4339370121506,41.247111104626,1,1,0,1,1,1,85,85,85,1,1,1,"Grande",0,"Material electrico, radio, television",1,1,32238222.6361058,1,0,282.666666666667,55.2460319281559,12.6081582200247,48.646175782362
"4",TRUE,3,3,3,11.2173539754673,3,3,80,3,1,1,1,1,1,1,1,1,1,11.8145636551645,10.62014429577,1,1,1,1,1,1,90,80,70,1,1,1,"Grande",0,"Alimentos",1,1,294457143.456807,1,1,NA,-5.61550614824755,NA,38.4948898413027
"4",TRUE,3,3,3,30.2890599407633,2,3,33.3333333333333,3,1,1,1,1,1,1,1,1,1,20.9710134929118,39.6071063886148,1,1,0,1,1,1,88,3,9,1,1,1,"Grande",0,"Farmaceuticas",1,1,294457143.456807,1,1,NA,81.8673825875379,NA,38.4948898413027
"1",FALSE,0,0,0,31.4299807422985,3,2,50,0,0,0,0,0,0,0,0,0,0,28.587840164719,34.272121319878,1,1,1,1,0,1,80,20,50,0,0,0,"Grande",0,"Farmaceuticas",0,0,294457143.456807,1,1,NA,57.6887712096382,NA,38.4948898413027
"4",FALSE,3,3,2,39.3597081930415,3,3,60,1,1,1,1,1,1,1,0,1,1,70.7295173961841,7.98989898989899,1,1,1,1,1,1,40,80,60,0,0,1,"Grande",1,"Farmaceuticas",1,1,294457143.456807,1,0,NA,13.3243120509111,NA,38.4948898413027
"4",TRUE,3,3,3,25.9415805264977,3,2,23.3333333333333,2,1,1,1,1,1,1,1,1,1,38.8793668437683,13.0037942092272,1,1,1,1,0,1,10,40,20,0,1,1,"Grande",1,"Farmaceuticas",1,0,294457143.456807,1,0,NA,15.4035038246016,NA,38.4948898413027
